2014-10-23 14-15-41
Time,X,Y,Flag,Gif,Error,LineFlag
4316,799,457,0,1,0,True
4333,799,457,0,1,0,True
4350,799,457,0,1,0,True
4366,799,457,0,1,0,True
4383,799,457,0,1,0,True
4400,799,457,0,1,0,True
4416,799,457,0,1,0,True
4433,799,457,0,1,0,True
4450,799,457,0,1,0,True
4466,799,457,0,1,0,True
4483,799,457,0,1,0,True
4500,799,457,0,1,0,True
4516,799,457,0,1,0,True
4533,799,457,0,1,0,True
4550,799,457,0,1,0,True
4566,799,457,0,1,0,True
4583,799,457,0,1,0,True
4600,799,457,0,1,0,True
4616,799,457,0,1,0,True
4633,799,457,0,1,0,True
4650,799,457,0,1,0,True
4666,799,457,0,1,0,True
4683,799,457,0,1,0,True
4700,799,457,0,1,0,True
4716,799,457,0,1,0,True
4733,799,457,0,1,0,True
4750,799,457,0,1,0,True
4766,799,457,0,1,0,True
4783,799,457,0,1,0,True
4800,799,457,0,1,0,True
4816,799,457,0,1,0,True
4833,799,457,0,1,0,True
4850,799,457,0,1,0,True
4866,799,457,0,1,0,True
4883,799,457,0,1,0,True
4900,799,457,0,1,0,True
4916,799,457,0,1,0,True
4933,799,457,0,1,0,True
4950,799,457,0,1,0,True
4966,799,457,0,1,0,True
4983,799,457,0,1,0,True
5000,799,457,0,1,0,True
5016,799,457,0,1,0,True
5033,799,457,0,1,0,True
5050,799,457,0,1,0,True
5066,799,457,0,1,0,True
5083,799,457,0,1,0,True
5100,799,457,0,1,0,True
5116,799,457,0,1,0,True
5133,799,457,0,1,0,True
5150,799,457,0,1,0,True
5166,799,457,0,1,0,True
5183,799,457,0,1,0,True
5200,799,457,0,1,0,True
5216,799,457,0,1,0,True
5233,799,457,0,1,0,True
5250,799,457,0,1,0,True
5266,799,457,0,1,0,True
5283,799,457,0,1,0,True
5300,799,457,0,1,0,True
5316,799,457,0,1,0,True
5333,799,457,0,1,0,True
5350,799,457,0,1,0,True
5366,799,457,0,1,0,True
5383,799,457,0,1,0,True
5400,799,457,0,1,0,True
5416,799,457,0,1,0,True
5433,799,457,0,1,0,True
5450,799,457,0,1,0,True
5466,799,457,0,1,0,True
5483,799,457,0,1,0,True
5500,799,457,0,1,0,True
5516,799,457,0,1,0,True
5533,799,457,0,1,0,True
5550,799,457,0,1,0,True
5566,799,457,0,1,0,True
5583,799,457,0,1,0,True
5600,799,457,0,1,0,True
5616,799,457,0,1,0,True
5633,799,457,0,1,0,True
5650,799,457,0,1,0,True
5666,799,457,0,1,0,True
5683,799,457,0,1,0,True
5700,799,457,0,1,0,True
5717,799,457,0,1,0,True
5733,799,457,0,1,0,True
5750,799,457,0,1,0,True
5767,799,457,0,1,0,True
5783,799,457,0,1,0,True
5800,799,457,0,1,0,True
5817,799,457,0,1,0,True
5833,799,457,0,1,0,True
5850,799,457,0,1,0,True
5866,799,457,0,1,0,True
5883,799,457,0,1,0,True
5900,799,457,0,1,0,True
5917,799,457,0,1,0,True
5933,799,457,0,1,0,True
5950,799,457,0,1,0,True
5966,799,457,0,1,0,True
5983,799,457,0,1,0,True
6000,799,457,0,1,0,True
6017,799,457,0,1,0,True
6033,799,457,0,1,0,True
6050,799,457,0,1,0,True
6067,799,457,0,1,0,True
6083,799,457,0,1,0,True
6100,799,457,0,1,0,True
6116,799,457,0,1,0,True
6133,799,457,0,1,0,True
6150,799,457,0,1,0,True
6167,799,457,0,1,0,True
6183,799,457,0,1,0,True
6200,799,457,0,1,0,True
6217,799,457,0,1,0,True
6233,799,457,0,1,0,True
6250,799,457,0,1,0,True
6267,799,457,0,1,0,True
6283,799,457,0,1,0,True
6300,799,457,0,1,0,True
6317,799,457,0,1,0,True
6333,799,457,0,1,0,True
6350,799,457,0,1,0,True
6367,799,457,0,1,0,True
6383,799,457,0,1,0,True
6400,799,457,0,1,0,True
6417,799,457,0,1,0,True
6433,799,457,0,1,0,True
6450,799,457,0,1,0,True
6467,799,457,0,1,0,True
6483,799,457,0,1,0,True
6500,799,457,0,1,0,True
6517,799,457,0,1,0,True
6533,799,457,0,1,0,True
6550,799,457,0,1,0,True
6567,799,457,0,1,0,True
6583,799,457,0,1,0,True
6600,799,457,0,1,0,True
6617,799,457,0,1,0,True
6633,799,457,0,1,0,True
6650,799,457,0,1,0,True
6667,799,457,0,1,0,True
6683,799,457,0,1,0,True
6700,799,457,0,1,0,True
6717,799,457,0,1,0,True
6733,799,457,0,1,0,True
6750,799,457,0,1,0,True
6767,799,457,0,1,0,True
6783,799,457,0,1,0,True
6800,799,457,0,1,0,True
6817,799,457,0,1,0,True
6833,799,457,0,1,0,True
6850,799,457,0,1,0,True
6867,799,457,0,1,0,True
6883,799,457,0,1,0,True
6900,799,457,0,1,0,True
6917,799,457,0,1,0,True
6933,799,457,0,1,0,True
6950,799,457,0,1,0,True
6967,799,457,0,1,0,True
6983,799,457,0,1,0,True
7000,799,457,0,1,0,True
7067,799,457,0,2,0,True
7083,799,457,0,2,0,True
7100,799,457,0,2,0,True
7117,799,457,0,2,0,True
7133,799,457,0,2,0,True
7150,799,457,0,2,0,True
7167,799,457,0,2,0,True
7183,799,457,0,2,0,True
7200,799,457,0,2,0,True
7217,799,457,0,2,0,True
7233,799,457,0,2,0,True
7250,799,457,0,2,0,True
7267,799,457,0,2,0,True
7283,799,457,0,2,0,True
7300,799,457,0,2,0,True
7317,799,457,0,2,0,True
7333,799,457,0,2,0,True
7350,799,457,0,2,0,True
7367,799,457,0,2,0,True
7383,799,457,0,2,0,True
7400,799,457,0,2,0,True
7417,799,457,0,2,0,True
7433,799,457,0,2,0,True
7450,799,457,0,2,0,True
7467,799,457,0,2,0,True
7483,799,457,0,2,0,True
7500,799,457,0,2,0,True
7517,799,457,0,2,0,True
7533,799,457,0,2,0,True
7550,799,457,0,2,0,True
7567,799,457,0,2,0,True
7583,799,457,0,2,0,True
7600,799,457,0,2,0,True
7617,799,457,0,2,0,True
7633,799,457,0,2,0,True
7650,799,457,0,2,0,True
7667,799,457,0,2,0,True
7683,799,457,0,2,0,True
7700,799,457,0,2,0,True
7717,799,457,0,2,0,True
7733,799,457,0,2,0,True
7750,799,457,0,2,0,True
7767,799,457,0,2,0,True
7783,799,457,0,2,0,True
7800,799,457,0,2,0,True
7816,799,457,0,2,0,True
7833,799,457,0,2,0,True
7850,799,457,0,2,0,True
7867,799,457,0,2,0,True
7883,799,457,0,2,0,True
7900,799,457,0,2,0,True
7917,799,457,0,2,0,True
7933,799,457,0,2,0,True
7950,799,457,0,2,0,True
7967,799,457,0,2,0,True
